Role,Name,Email,Skills,Background,Domain,Interests
professional,professional1,professional1@gmail.com,"Web Development, Leadership, Engineering, Project Management",Computer Science Major,Finance,"Music, Gaming, Learning Languages"
professional,professional2,professional2@gmail.com,"Public Speaking, Engineering, Marketing, Research",Teacher,Business Management,"Reading, Music, Sports"
professional,professional3,professional3@gmail.com,"Project Management, Public Speaking",Entrepreneur,Marketing,"Fitness, Travel"
professional,professional4,professional4@gmail.com,"Public Speaking, Web Development, Cybersecurity, Machine Learning",Teacher,IT Security,"Photography, Fitness"
professional,professional5,professional5@gmail.com,"Data Analysis, Public Speaking, Web Development, Leadership",Veteran,Marketing,"Travel, Technology, Sports"
student,student6,student6@gmail.com,"Leadership, Cybersecurity, Engineering",Teacher,Robotics,"Photography, Technology, Fitness, Networking"
professional,professional7,professional7@gmail.com,"Marketing, Project Management, Engineering, Artistic Skills",High School Student (STEM),Web Development,"Reading, Learning Languages"
professional,professional8,professional8@gmail.com,"Artistic Skills, Research, Finance, Data Analysis",Business Graduate,Robotics,"Photography, Music, Gaming, Travel"
professional,professional9,professional9@gmail.com,"Project Management, Cybersecurity, Leadership, Finance",Self-Taught Programmer,Finance,"Fitness, Networking"
professional,professional10,professional10@gmail.com,"Artistic Skills, Marketing, Design",Data Scientist,Web Development,"Gaming, Reading, Photography, Fitness"
student,student11,student11@gmail.com,"Data Analysis, Design, Research, Public Speaking",Mechanical Engineer,Finance,"Travel, Gaming"
student,student12,student12@gmail.com,"Electronics, Engineering, Leadership, Data Analysis",Artist,Healthcare,"Music, Networking"
student,student13,student13@gmail.com,"Artistic Skills, Cybersecurity, Marketing, Python",Computer Science Major,Finance,"Fitness, Reading, Entrepreneurship"
student,student14,student14@gmail.com,"Project Management, Engineering",Finance Expert,Media Production,"Photography, Reading, Fitness"
professional,professional15,professional15@gmail.com,"Data Analysis, Cybersecurity, Marketing",Finance Expert,IT Security,"Gaming, Learning Languages, Networking, Reading"
professional,professional16,professional16@gmail.com,"Finance, Cybersecurity",Finance Expert,Media Production,"Networking, Entrepreneurship"
student,student17,student17@gmail.com,"Artistic Skills, Public Speaking",Finance Expert,IT Security,"Learning Languages, Fitness, Entrepreneurship"
professional,professional18,professional18@gmail.com,"Research, Cybersecurity, Engineering, Electronics",Teacher,Finance,"Volunteering, Gaming, Sports"
professional,professional19,professional19@gmail.com,"Cybersecurity, Data Analysis, Marketing",Data Scientist,IT Security,"Sports, Gaming, Learning Languages, Technology"
professional,professional20,professional20@gmail.com,"Research, Leadership",Computer Science Major,Finance,"Gaming, Photography"
professional,professional21,professional21@gmail.com,"Public Speaking, Leadership, Finance",Mechanical Engineer,Healthcare,"Entrepreneurship, Music, Volunteering, Technology"
student,student22,student22@gmail.com,"Artistic Skills, Python, Design",Self-Taught Programmer,Healthcare,"Learning Languages, Sports, Technology, Volunteering"
professional,professional23,professional23@gmail.com,"Finance, Engineering",High School Student (STEM),IT Security,"Learning Languages, Technology, Sports, Gaming"
student,student24,student24@gmail.com,"Engineering, Leadership",Teacher,Healthcare,"Entrepreneurship, Photography, Volunteering"
student,student25,student25@gmail.com,"Engineering, Leadership",Computer Science Major,Sustainability,"Learning Languages, Networking, Photography, Gaming"
professional,professional26,professional26@gmail.com,"Artistic Skills, Cybersecurity",Mechanical Engineer,Media Production,"Entrepreneurship, Technology"
professional,professional27,professional27@gmail.com,"Python, Project Management, Cybersecurity, Electronics",Business Graduate,Robotics,"Gaming, Technology, Entrepreneurship, Sports"
student,student28,student28@gmail.com,"Data Analysis, Python",Marketing Professional,Sustainability,"Learning Languages, Photography, Entrepreneurship"
professional,professional29,professional29@gmail.com,"Marketing, Data Analysis, Project Management, Leadership",Artist,Finance,"Fitness, Technology, Volunteering"
professional,professional30,professional30@gmail.com,"Data Analysis, Design, Engineering",Marketing Professional,AI,"Music, Photography, Networking"
